"Year","Term","Institution","Course ID","Course Name","Role","Notes"
2026,"Fall","Westmont College","MA-009","Calculus I","Instructor",""
2026,"Fall","Westmont College","CS/MA-015","Discrete Mathematics","Instructor",""
2026,"Spring","Westmont College","MA-009","Calculus I","Instructor",""
2026,"Spring","Westmont College","MA-010","Calculus II","Instructor",""
2026,"Spring","Westmont College","MA-180","Senior Seminar","Instructor",""
2025,"Fall","Westmont College","MA-110","Abstract Algebra","Instructor",""
2025,"Fall","Westmont College","CS/MA-015","Discrete Mathematics","Instructor",""
2025,"Spring","UCSB","N/A","N/A","Math Lab Coordinator",""
2025,"Winter","UCSB","MA-117","Methods of Analysis","TA",""
2024,"Fall","UCSB","MA-102A","Modern Euclidean and Non-Euclidean Geometry","Grader",""
2024,"Summer","UCSB","MA-8","Transition to Higher Mathematics","TA",""
2023,"Spring","UCSB","MA-108A","Linear Algebra","TA",""
2023,"Winter","UCSB","MA-108B","Linear Algebra","TA",""
2023,"Fall","UCSB","MA-108A","Linear Algebra","TA",""
2023,"Fall","Westmont College","CS/MA-015","Discrete Mathematics","Instructor","Adjunct"
2023,"Summer","UCSB","MA-8","Transition to Higher Mathematics","TA",""
2023,"Spring","UCSB","CS-040","Foundations of Computer Science","Instructor","Adjunct"
2022,"Fall","Westmont College","CS/MA-015","Discrete Mathematics","Instructor","Adjunct"
2022,"Fall","UCSB","N/A","TA Training","Lead TA",""
2022,"Fall","UCSB","MA-4A","Linear Algebra with Applications","TA",""
2022,"Summer","UCSB","MA-4A","Linear Algebra with Applications","TA",""
2022,"Winter","UCSB","MA-108A","Linear Algebra","TA","COVID"
2021,"Fall","Westmont College","CS/MA-015","Discrete Mathematics","Instructor","Adjunct"
2021,"Fall","UCSB","MA-117","Methods of Analysis","TA",""
2021,"Summer","UCSB","MA-117","Methods of Analysis","TA","COVID"
2021,"Spring","UCSB","MA-4B","Differential Equations","TA","COVID"
2021,"Winter","UCSB","MA-8","Transition to Higher Mathematics","TA","COVID"
2020,"Fall","UCSB","MA-4A","Linear Algebra with Applications","TA","COVID"
2020,"Summer","UCSB","MA-8","Transition to Higher Mathematics","TA","COVID"
2020,"Spring","UCSB","MA-8","Transition to Higher Mathematics","TA","COVID"
2020,"Winter","UCSB","MA-34A","Calculus for Social Sciences I","TA",""
2019,"Fall","UCSB","MA-3A","Calculus I","TA",""
